hour,user_3,user_4,user_5,user_6,user_7,user_8,user_9,user_10,user_11,user_12,user_13,user_14,user_15,user_16,user_17,user_18,user_19,user_20,user_21,user_22,user_23,user_24,user_25,user_26,user_27,user_28,user_29,user_30,user_31,user_32
2014-01-01 00,24.00426742532005,0.4344048653344925,148.88211382113826,75.60975609756098,276.04166666666674,6.642170717919726,247.47474747474774,51.136363636363654,66.6666666666667,55.70044709388975,175.531914893617,40.8374792703151,35.89661774090617,47.778925619834695,43.70728929384965,70.30548068283915,340.25559105431296,10.42713567839195,59.2511013215859,171.46596858638725,29.576587795765903,15.0065963060686,27.606310013717447,264.01869158878526,30.932203389830526,31.973203410475026,121.5110683349375,47.90231684408268,49.59588537839825,120.4769736842105
2014-01-01 01,23.2930298719772,0.0,145.83333333333326,71.03658536585365,233.63095238095224,5.935556811758055,250.00000000000026,52.01048951048955,69.35483870967745,51.60208643815205,164.89361702127675,33.7893864013267,34.46075303126995,46.616735537190074,43.1378132118451,63.11769991015275,328.27476038338676,9.17085427135678,54.625550660792975,171.4659685863875,28.95392278953925,13.687335092348276,28.463648834019175,271.0280373831775,26.6949152542373,31.059683313032874,108.27718960538975,49.62429555416408,51.249081557678196,113.89802631578975
2014-01-01 02,24.537695590327175,0.0,142.2764227642275,64.9390243902439,212.79761904761898,5.5115884680610545,251.6835016835015,52.88461538461543,62.3655913978495,44.33681073025335,154.78723404255325,34.61857379767825,33.98213146139118,50.619834710743774,44.703872437357624,67.61006289308175,318.6900958466455,10.301507537688428,48.4581497797357,154.45026178010477,29.887920298879223,11.87335092348285,27.09190672153635,257.00934579439274,24.5762711864407,26.948842874543224,100.3368623676612,44.45835942391987,51.8001469507715,107.7302631578947
2014-01-01 03,21.8705547652916,0.0,127.03252032520325,64.63414634146342,179.31547619047623,5.935556811758055,207.912457912458,46.765734265734274,56.72043010752692,39.1207153502235,137.23404255319124,37.3134328358209,32.2271857051691,41.96797520661155,35.73462414578587,53.90835579514825,281.150159744409,8.919597989949757,39.20704845814975,124.34554973822,25.996264009962676,9.06992084432718,23.319615912208526,237.1495327102805,22.457627118644076,23.44701583434835,85.4186717998075,39.292423293675675,48.861131520940475,89.22697368421052
2014-01-01 04,22.226173541963,0.0,111.28048780487825,57.6219512195122,156.25,4.9462973431317145,191.07744107744125,41.958041958041974,52.15053763440855,38.18926974664675,138.2978723404255,41.459369817578775,32.54626675175493,37.57747933884298,33.74145785876993,42.6774483378257,267.57188498402553,7.160804020100505,33.0396475770925,120.4188481675395,23.97260273972605,5.441952506596308,20.061728395061728,199.766355140187,16.3135593220339,21.163215590743,71.2223291626564,37.88353162179085,44.45260837619398,79.76973684210527
2014-01-01 05,21.5149359886202,0.0,105.1829268292685,62.8048780487805,143.60119047619025,4.381006218202375,175.08417508417475,40.20979020979023,51.8817204301075,35.7675111773472,133.510638297872,35.03316749585407,30.791320995532878,36.286157024793376,30.3246013667426,39.083557951482504,245.20766773162973,7.286432160804022,35.242290748898654,119.764397905759,21.637608966376124,5.441952506596308,18.175582990397775,205.60747663551373,15.466101694915249,24.2082825822168,68.81616939364775,31.308703819661847,37.10506980161645,73.60197368421052
2014-01-01 06,21.692745376955898,0.0,97.05284552845524,58.84146341463415,142.85714285714275,4.663651780667045,166.66666666666652,38.461538461538474,51.88172043010755,34.09090909090905,131.382978723404,34.61857379767827,29.355456285896626,33.70351239669422,32.03302961275625,37.7358490566038,246.80511182108626,7.03517587939699,39.20704845814975,118.45549738219874,21.48194271481945,9.564643799472293,16.117969821673526,186.91588785046724,15.466101694915224,22.685749086479927,66.89124157844083,28.177833437695675,34.16605437178543,67.43421052631578
2014-01-01 07,21.8705547652916,0.0,89.93902439024387,57.9268292682927,142.113095238095,4.52232899943471,143.09764309764324,36.71328671328673,47.84946236559138,32.7868852459016,127.659574468085,37.313432835820876,29.3554562858966,30.2169421487603,26.7653758542141,32.79424977538185,229.23322683706073,7.160804020100505,36.34361233480175,127.61780104712025,21.014943960149473,12.368073878627975,15.946502057613198,161.214953271028,13.135593220338976,20.249695493300848,63.76323387872955,25.6731371321227,32.14548126377665,65.37828947368422
2014-01-01 08,22.7596017069701,0.0,68.59756097560975,49.390243902438996,127.232142857143,3.6743923120407,114.47811447811425,50.6993006993007,36.82795698924727,27.75707898658715,109.0425531914895,35.65505804311775,28.8768347160179,28.53822314049585,19.0774487471526,32.345013477088926,214.85623003194874,6.78391959798995,30.837004405286322,96.2041884816754,26.77459526774595,11.37862796833773,14.060356652949224,157.710280373832,12.076271186440675,19.792935444579776,57.7478344562079,21.916092673763302,22.042615723732524,56.743421052631604
2014-01-01 09,25.24893314367,0.0,92.98780487804875,44.512195121951194,143.60119047619025,4.522328999434707,123.737373737374,59.44055944055945,39.7849462365591,31.6691505216095,123.404255319149,30.679933665008274,29.834077855775377,32.15392561983472,24.914578587699324,46.2713387241689,217.25239616613425,8.417085427135667,31.277533039647576,101.43979057591618,27.8642590286426,7.420844327176782,16.117969821673526,175.233644859813,14.830508474576275,20.554202192448226,62.0789220404235,26.455854727614298,23.6958119030125,71.54605263157896
2014-01-01 10,27.73826458036985,0.0,104.16666666666686,52.4390243902439,191.22023809523824,6.50084793668739,171.71717171717174,59.0034965034965,56.4516129032258,44.150521609538025,136.17021276595725,30.6799336650083,31.908104658583277,37.1900826446281,33.3143507972665,50.988319856244345,270.7667731629395,11.055276381909529,35.462555066079275,136.78010471204175,26.77459526774595,5.93667546174142,17.8326474622771,197.429906542056,15.677966101694901,22.8380024360536,78.92204042348412,37.57044458359425,34.71711976487875,85.9375
2014-01-01 11,32.18349928876245,0.0,153.45528455284526,58.536585365853675,273.065476190476,5.935556811758055,249.15824915824948,56.8181818181818,71.23655913978497,51.4157973174367,170.21276595744675,31.92371475953565,41.640076579451176,42.09710743801652,47.124145785877005,71.42857142857143,322.6837060702875,9.422110552763812,52.86343612334802,173.42931937172776,25.840597758406,13.0277044854881,31.035665294924524,254.67289719626177,29.872881355932225,29.689403166869674,101.05871029836378,48.215403882279276,47.575312270389404,108.9638157894737
2014-01-01 12,32.539118065433875,0.0,160.569105691057,66.15853658536588,287.20238095238096,6.500847936687395,267.6767676767678,73.86363636363637,66.93548387096777,49.5529061102832,192.02127659574475,40.215588723051425,41.48053605615828,47.26239669421487,63.6389521640091,79.96406109613659,320.28753993610223,10.175879396984936,58.1497797356828,173.42931937172776,24.439601494396026,15.66622691292875,30.5212620027435,252.33644859813074,37.0762711864407,31.66869671132765,104.66794995187685,52.91170945522855,60.24981631153565,123.3552631578945
