user_3,user_4,user_5,user_6
22.93741,2.8236315,128.5205,62.19512
23.64865,2.4289043,130.58943,57.621952
24.004267,2.606429,128.55692,56.82327
22.93741,2.3290753,107.21545,48.47561
22.581793,2.606429,109.09305,50.30488
22.581793,2.606429,107.813934,49.08978
22.403982,2.606429,82.31707,49.085365
22.581793,2.606429,75.203255,41.722157
23.115221,2.606429,73.17073,30.182926
25.071123,3.040834,89.939026,27.439024
29.694168,1.7846085,94.00407,33.23171
30.420889,1.964276,112.296745,47.256096
38.584637,3.475239,129.57317,46.646343
35.917496,3.6924415,120.42683,41.76829
30.761023,4.3440485,96.544716,35.365852
28.093884,4.3440485,91.46342,37.5
26.671408,4.3440485,89.43089,38.719513
25.782362,3.6924415,98.57723,52.743904
24.945822,3.6924415,131.09756,55.182926
26.493599,4.1268463,156.50406,64.63415
27.382647,4.3440485,156.7139,78.35366
26.671408,4.3440485,174.28862,85.97561
25.071123,4.561251,175.30487,77.439026
24.182077,3.6924415,153.45529,71.95122
23.115221,3.475239,116.86992,54.458824
24.307022,3.475239,107.72358,53.14076
22.581793,3.475239,102.13415,48.780487
22.226173,2.4304245,87.9065,52.43903
22.403982,3.475239,80.28455,44.880093
22.226173,3.475239,72.15447,46.951214
22.93741,3.475239,80.79269,51.219513
25.248934,3.475239,96.544716,49.390244
29.16074,3.2580364,99.085365,50.193317
30.405403,3.475239,101.11789,47.560974
23.564116,3.909644,98.06911,60.97561
32.005688,3.475239,137.16031,56.707317
32.716927,3.475239,101.11789,58.536587
31.472263,4.1268463,133.09898,63.10763
31.472263,4.3440485,89.43089,56.09756
28.271692,4.3440485,102.13415,60.97561
27.204836,2.2112617,109.756096,59.756096
26.849218,4.1268463,130.68077,62.0775
28.627312,2.4560628,185.46748,81.70731
30.405403,2.3147526,233.73984,82.62194
32.894737,2.1532435,157.24417,81.402435
33.76711,2.3594358,244.9187,75.914635
26.13798,4.3440485,198.67886,72.560974
24.715506,3.475239,147.86159,71.34146
23.470839,2.5635948,122.45935,68.29269
22.759602,2.4640276,101.626015,58.841465
22.226173,2.4205475,108.73984,51.219513
21.692745,3.475239,85.36585,53.658535
22.226173,3.475239,81.808945,49.390244
22.581793,2.3789136,82.8252,50.0
23.826458,3.475239,126.40377,53.658535
31.827883,3.475239,99.5935,51.089966
32.894737,1.7634596,97.560974,49.695118
28.80512,4.3440485,111.78862,50.0
23.866497,4.3440485,132.99208,63.048187
28.449503,4.3440485,84.349594,54.878048
22.747202,4.3440485,89.939026,58.23171
28.80512,2.0414207,90.955284,54.878048
28.271692,4.3440485,81.30081,48.80196
26.493599,4.3440485,90.44715,53.048782
22.783659,4.3440485,101.626015,51.82927
25.604551,2.3459501,120.93496,60.97561
26.039919,4.3440485,158.02846,80.48781
30.049788,4.3440485,207.31708,86.28049
32.53912,4.561251,223.0691,83.231705
28.982931,4.3440485,133.58067,63.294003
25.96017,3.909644,197.15446,84.45122
24.004267,3.475239,133.13008,79.87805
22.93741,3.475239,150.21513,75.60976
25.171284,3.475239,129.0205,61.414112
28.780888,2.0225394,85.873985,54.878048
22.226173,3.475239,73.67886,46.951214
22.843904,3.475239,65.04065,44.817074
22.403982,3.475239,72.15447,44.817074
23.29303,3.475239,68.08943,44.207317
32.005688,3.475239,104.166664,52.487537
23.29721,3.909644,99.085365,47.865852
23.917904,4.3440485,134.74814,52.134148
30.761023,4.1268463,86.89024,60.060974
30.227596,1.9672283,75.203255,56.707317
28.80512,3.475239,76.21951,44.489376
29.338549,1.9316255,121.86405,53.353657
27.738264,4.3440485,128.16956,46.646343
26.493599,4.3440485,85.873985,42.987804
26.31579,4.3440485,92.98781,41.15854
26.671408,4.3440485,130.0813,61.890244
27.900995,4.561251,192.07317,80.79269
28.80512,4.561251,201.72765,90.85366
30.227596,2.4023032,201.21951,84.45122
28.449503,5.212858,190.04065,71.03659
27.238174,4.3440485,198.67886,71.34146
24.359886,2.5130959,162.60162,65.85366
22.93741,2.3862195,136.17886,57.587154
23.115221,2.4010613,109.756096,56.09756
22.226173,3.475239,90.44715,50.30488
23.696764,3.475239,84.349594,56.09756
22.403982,2.351553,76.727646,47.865852
28.608103,1.9528676,76.727646,41.07551
22.759602,2.413522,79.268295,56.707317
23.29303,2.3488119,83.333336,52.743904
25.782362,3.909644,96.544716,49.774803
29.338549,4.995656,110.26423,53.353657
34.672832,1.7259036,123.98374,52.868847
34.85064,1.8139272,138.10182,56.09756
38.406826,1.5889804,117.37805,61.585365
35.73969,4.3440485,122.45935,50.609756
23.607567,4.3440485,115.85366,66.15854
31.29445,4.1268463,151.05254,69.20731
29.51636,4.3440485,122.967476,58.818573
28.093884,4.3440485,129.06505,79.87805
28.007647,4.561251,182.92683,96.95122
28.627312,4.7784534,166.62402,86.89024
29.694168,4.561251,178.86179,75.9831
27.382647,4.3440485,169.20732,80.18293
25.604551,4.3440485,153.96341,73.17073
24.359886,3.475239,146.8496,75.60976
23.470839,3.475239,133.13008,65.243904
23.29303,3.475239,119.9187,56.707317
22.759602,3.475239,99.5935,51.219513
22.403982,3.475239,93.49593,51.52439
22.226173,3.475239,85.873985,54.878048
22.581793,2.1041434,105.14561,52.43903
22.581793,3.475239,79.268295,44.64932
22.93741,3.475239,101.11789,49.895443
24.359886,3.909644,100.10162,45.121952
28.627312,3.909644,106.70731,53.187668
23.581831,4.3440485,124.49187,51.219513
37.339973,4.3440485,136.55817,64.57969
38.762447,4.3440485,147.35773,67.37805
38.05121,4.3440485,103.65854,57.621952
33.25035,4.3440485,101.626015,53.677334
23.789509,4.3440485,132.68561,62.91809
27.382647,4.3440485,108.73984,59.756096
27.382647,4.3440485,125.50814,69.81707
28.093884,2.372663,152.94716,78.35366
29.871977,4.561251,176.82927,74.39024
30.405403,4.7784534,164.32988,85.060974
28.093884,4.561251,172.2561,79.57317
25.96017,3.6924415,164.63414,69.60128
24.359886,3.475239,144.90288,68.902435
25.513897,3.475239,138.59413,59.756096
23.29303,3.475239,92.98781,52.743904
23.473122,3.475239,82.8252,48.17073
22.048365,3.475239,126.02816,55.487804
22.403982,3.475239,76.727646,48.780487
22.403982,3.475239,115.89129,47.256096
24.004267,3.475239,124.56182,51.52439
25.380022,3.475239,134.88383,55.182926
34.495018,3.475239,91.97154,50.30488
28.556417,1.9684323,76.727646,50.914635
30.049788,2.8236315,84.349594,57.621952
29.694168,3.475239,141.5902,63.414635
24.01423,3.6924415,100.60976,60.365852
29.16074,1.8717256,115.39482,49.09886
28.627312,3.475239,83.333336,53.963413
27.560455,3.6924415,85.36585,46.997456
26.849218,2.2495317,96.03658,61.585365
26.849218,2.2729478,117.88618,63.109756
27.916075,3.6924415,154.47154,66.64448
31.65007,4.1268463,179.2975,102.743904
27.286676,6.2988706,214.4309,102.439026
30.227596,2.4492533,191.05692,93.90243
26.849218,3.6924415,129.16106,61.457706
24.715506,3.475239,149.39024,82.62194
24.750051,3.475239,108.231705,63.719513
23.657108,3.475239,84.349594,53.353657
22.226173,3.475239,81.808945,52.743904
21.692745,3.475239,81.808945,45.345547
