user_3,user_4,user_5,user_6
22.93741,2.8236315,128.58293,62.19512
23.64865,2.4297864,130.58943,57.621952
24.004267,2.606429,128.55692,56.820744
22.93741,2.3298714,107.21545,48.47561
22.581793,2.606429,109.221855,50.30488
22.581793,2.606429,107.99702,49.14107
22.403982,2.606429,82.31707,49.085365
22.581793,2.606429,75.203255,41.719982
23.115221,2.606429,73.17073,30.182926
25.071123,3.040834,89.939026,27.439024
29.694168,1.7850196,94.00407,33.23171
30.418407,1.964808,112.296745,47.256096
38.584637,3.475239,129.57317,46.646343
35.917496,3.6924415,120.42683,41.76829
30.761023,4.3440485,96.544716,35.365852
28.093884,4.3440485,91.46342,37.5
26.671408,4.3440485,89.43089,38.719513
25.782362,3.6924415,98.57723,52.743904
24.944317,3.6924415,131.09756,55.182926
26.493599,4.1268463,156.50406,64.63415
27.382647,4.3440485,156.73611,78.35366
26.671408,4.3440485,174.28862,85.97561
25.071123,4.561251,175.30487,77.439026
24.182077,3.6924415,153.45529,71.95122
23.115221,3.475239,116.86992,54.45818
24.30499,3.475239,107.72358,53.14182
22.581793,3.475239,102.13415,48.780487
22.226173,2.4312196,87.9065,52.43903
22.403982,3.475239,80.28455,44.886463
22.226173,3.475239,72.15447,46.951214
22.93741,3.475239,80.79269,51.219513
25.248934,3.475239,96.544716,49.390244
29.16074,3.2580364,99.085365,50.19368
30.405403,3.475239,101.11789,47.560974
23.56113,3.909644,98.06911,60.97561
32.005688,3.475239,137.18655,56.707317
32.716927,3.475239,101.11789,58.536587
31.472263,4.1268463,133.13608,63.11704
31.472263,4.3440485,89.43089,56.09756
28.271692,4.3440485,102.13415,60.97561
27.204836,2.2120578,109.756096,59.756096
26.849218,4.1268463,130.7188,62.085796
28.627312,2.457096,185.46748,81.70731
30.405403,2.3155808,233.73984,82.62194
32.894737,2.1540122,157.26135,81.402435
33.769444,2.3601615,244.9187,75.914635
26.13798,4.3440485,198.67886,72.560974
24.715506,3.475239,147.88855,71.34146
23.470839,2.5645509,122.45935,68.29269
22.759602,2.4648962,101.626015,58.841465
22.226173,2.4213593,108.73984,51.219513
21.692745,3.475239,85.36585,53.658535
22.226173,3.475239,81.808945,49.390244
22.581793,2.3796844,82.8252,50.0
23.826458,3.475239,126.46257,53.658535
31.827883,3.475239,99.5935,51.091415
32.894737,1.7639517,97.560974,49.695118
28.80512,4.3440485,111.78862,50.0
23.864883,4.3440485,133.03323,63.057938
28.449503,4.3440485,84.349594,54.878048
22.743563,4.3440485,89.939026,58.23171
28.80512,2.0421014,90.955284,54.878048
28.271692,4.3440485,81.30081,48.808075
26.493599,4.3440485,90.44715,53.048782
22.780293,4.3440485,101.626015,51.82927
25.604551,2.3468187,120.93496,60.97561
26.040323,4.3440485,158.02846,80.48781
30.049788,4.3440485,207.31708,86.28049
32.53912,4.561251,223.0691,83.231705
28.982931,4.3440485,133.62119,63.30331
25.96017,3.909644,197.15446,84.45122
24.004267,3.475239,133.13008,79.87805
22.93741,3.475239,150.24223,75.60976
25.171045,3.475239,129.04988,61.421696
28.777733,2.023161,85.873985,54.878048
22.226173,3.475239,73.67886,46.951214
22.841341,3.475239,65.04065,44.817074
22.403982,3.475239,72.15447,44.817074
23.29303,3.475239,68.08943,44.207317
32.005688,3.475239,104.166664,52.489006
23.294605,3.909644,99.085365,47.865852
23.916576,4.3440485,134.78757,52.134148
30.761023,4.1268463,86.89024,60.060974
30.227596,1.9678816,75.203255,56.707317
28.80512,3.475239,76.21951,44.490192
29.338549,1.9313078,121.950584,53.353657
27.738264,4.3440485,128.20877,46.646343
26.493599,4.3440485,85.873985,42.987804
26.31579,4.3440485,92.98781,41.15854
26.671408,4.3440485,130.0813,61.890244
27.900755,4.561251,192.07317,80.79269
28.80512,4.561251,201.72765,90.85366
30.227596,2.4033165,201.21951,84.45122
28.449503,5.212858,190.04065,71.03659
27.238293,4.3440485,198.67886,71.34146
24.359886,2.5140724,162.60162,65.85366
22.93741,2.3872056,136.17886,57.585632
23.115221,2.4019232,109.756096,56.09756
22.226173,3.475239,90.44715,50.30488
23.694311,3.475239,84.349594,56.09756
22.403982,2.3523052,76.727646,47.865852
28.60283,1.9535798,76.727646,41.075996
22.759602,2.4143553,79.268295,56.707317
23.29303,2.3496134,83.333336,52.743904
25.782362,3.909644,96.544716,49.775864
29.338549,4.995656,110.26423,53.353657
34.672832,1.7264936,123.98374,52.869766
34.85064,1.8143455,138.12856,56.09756
38.406826,1.5894351,117.37805,61.585365
35.73969,4.3440485,122.45935,50.609756
23.604208,4.3440485,115.85366,66.15854
31.29445,4.1268463,151.08664,69.20731
29.51636,4.3440485,122.967476,58.821384
28.093884,4.3440485,129.06505,79.87805
28.006075,4.561251,182.92683,96.95122
28.627312,4.7784534,166.62883,86.89024
29.694168,4.561251,178.86179,75.98611
27.382647,4.3440485,169.20732,80.18293
25.604551,4.3440485,153.96341,73.17073
24.359886,3.475239,146.8496,75.60976
23.470839,3.475239,133.13008,65.243904
23.29303,3.475239,119.9187,56.707317
22.759602,3.475239,99.5935,51.219513
22.403982,3.475239,93.49593,51.52439
22.226173,3.475239,85.873985,54.878048
22.581793,2.1033244,105.31993,52.43903
22.581793,3.475239,79.268295,44.655758
22.93741,3.475239,101.11789,49.89488
24.359886,3.909644,100.10162,45.121952
28.627312,3.909644,106.70731,53.189327
23.57914,4.3440485,124.49187,51.219513
37.339973,4.3440485,136.59698,64.59106
38.762447,4.3440485,147.35773,67.37805
